"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2008","2008","PER","Persons","0","Units",,,62300290,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2009","2009","PER","Persons","0","Units",,,62615470,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2010","2010","PER","Persons","0","Units",,,62917790,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2011","2011","PER","Persons","0","Units",,,63223160,,
"FRA","France","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2012","2012","PER","Persons","0","Units",,,63514000,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,42087850,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,42134320,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,42178720,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,42183730,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,42161440,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,42122630,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,42055890,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,41978640,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,41880810,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,41758360,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,41668910,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,41368560,,
"DEU","Germany","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,41120280,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2000","2000","PER","Persons","0","Units",,,5239233,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2001","2001","PER","Persons","0","Units",,,5256416,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2002","2002","PER","Persons","0","Units",,,5278198,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2003","2003","PER","Persons","0","Units",,,5299102,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2004","2004","PER","Persons","0","Units",,,5321886,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2005","2005","PER","Persons","0","Units",,,5351044,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2006","2006","PER","Persons","0","Units",,,5385343,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2007","2007","PER","Persons","0","Units",,,5422841,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2008","2008","PER","Persons","0","Units",,,5463493,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2009","2009","PER","Persons","0","Units",,,5506056,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2010","2010","PER","Persons","0","Units",,,5563302,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2011","2011","PER","Persons","0","Units",,,5620995,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","FE","Females","A","Annual","2012","2012","PER","Persons","0","Units",,,5658638,"B","Break"
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2000","2000","PER","Persons","0","Units",,,10251250,,
"BEL","Belgium","YP99TLL1_ST","Population (hist5) All ages","TT","All persons","A","Annual","2001","2001","PER","Persons","0","Units",,,10286570,,
